pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K2-87 b,K2-87,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,9.72661800,7.600,44.90000,0.562000,,85.00,979,87.740,14.400000,,5747.00,1.40,1.16,-0.098,4.21,,0.59000,,13.7078000
K2-88 b,K2-88,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,4.61220000,1.230,2.04000,6.020000,0.260000,7.80,,87.750,19.980000,,3537.00,0.26,0.26,-1.545,5.02,,7.18129,,14.5451000
K2-89 b,K2-89,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,1.09602600,0.615,0.17000,4.020000,0.150000,78.00,,85.770,7.360000,,3691.00,0.32,0.35,-1.327,4.96,,4.89287,,13.3216000
K2-9 b,K2-9,b,1,1,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,18.44980000,2.250,5.69000,2.740000,,1.36,314,87.983,26.300000,M2.5 V,3390.00,0.31,0.30,-1.921,4.82,1.000,9.88000,,14.8665000
K2-90 b,K2-90,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,13.73331400,2.600,7.27000,2.270000,0.070000,10.20,502,89.240,33.400000,,4484.00,0.62,0.63,-0.953,4.65,,3.74000,,13.2292000
K2-90 c,K2-90,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,2.90070600,1.300,2.24000,5.600000,0.190000,80.80,,86.940,12.020000,,4421.98,0.63,0.70,-0.953,4.79,,3.30792,,13.2292000
K2-91 b,K2-91,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,1.41954900,1.100,1.37000,5.660000,0.090000,46.00,,88.620,11.190000,,3622.00,0.28,0.29,-1.841,5.00,,10.36688,,14.3219000
K2-95 b,K2-95,b,1,1,0,Transit,2016,2016-12,Space,K2,0.95 m Kepler Telescope,10.13401600,3.880,14.30000,1.350000,0.160000,,383,90.000,18.270000,M3.0,3548.00,0.42,0.44,-1.635,4.84,0.790,1.12000,2.6000,16.0836000
K2-97 b,K2-97,b,1,1,0,Transit,2016,2016-12,Space,K2,0.95 m Kepler Telescope,8.40672600,10.610,152.55840,0.702000,0.220000,,1499,85.854,10.160000,,4717.00,4.47,1.20,0.919,3.22,7.800,0.27900,2.8000,12.3059000
K2-98 b,K2-98,b,1,1,0,Transit,2016,2016-12,Space,K2,0.95 m Kepler Telescope,10.13644800,5.200,32.20000,2.150000,0.000000,,1092,89.000,15.090000,F8 V,6172.00,1.57,1.20,0.504,4.13,5.200,0.63300,6.1000,12.0398000
K2-99 b,K2-99,b,1,1,0,Transit,2016,2017-01,Space,K2,0.95 m Kepler Telescope,18.25198500,11.730,308.29510,1.050000,0.190000,,1113,87.700,12.010000,G0 IV,6217.00,2.63,1.63,0.961,3.81,2.400,0.09900,9.3000,10.9485000
KELT-1 b,KELT-1,b,1,1,0,Transit,2012,2012-12,Ground,KELT,Mamiya 645 80mm f/1.9,1.21751400,12.442,8654.15000,24.700000,0.009900,,,87.800,3.600000,,6518.00,1.46,1.32,0.542,4.25,,0.62059,56.0000,10.5905000
KELT-10 b,KELT-10,b,1,1,0,Transit,2016,2016-07,Ground,KELT-South,Mamiya 645 80mm f/1.9,4.16627390,15.681,215.80657,0.308000,,600.00,1377,88.610,9.340000,G0 V,5948.00,1.21,1.11,0.217,4.32,4.500,0.88900,,10.7009000
KELT-11 b,KELT-11,b,1,1,0,Transit,2017,2017-05,Ground,KELT-South,Mamiya 645 80mm f/1.9,4.73610000,15.132,54.34893,0.093000,0.000700,1433.00,1712,85.300,4.980000,G8/K0 IV,5375.00,2.69,1.44,0.744,3.70,,0.10400,2.6600,7.8311200
KELT-12 b,KELT-12,b,1,1,0,Transit,2017,2017-04,Ground,KELT-North,Mamiya 645 80mm f/1.9,5.03162300,19.952,301.93850,0.209000,0.000000,1749.00,1800,84.470,6.080000,,6279.00,2.37,1.59,0.892,3.89,2.200,0.16800,,10.4842000
KELT-14 b,KELT-14,b,1,1,0,Transit,2016,2016-06,Ground,KELT-South,Mamiya 645 80mm f/1.9,1.71005660,19.537,408.09372,0.322000,0.000000,,1970,78.300,4.248000,G4,5720.00,1.52,1.24,0.279,4.17,5.110,0.49500,3.3000,10.8384000
KELT-15 b,KELT-15,b,2,1,0,Transit,2016,2016-06,Ground,KELT-South,Mamiya 645 80mm f/1.9,3.32944000,19.504,416.35730,0.360000,0.000000,,1642,88.300,6.700000,,6003.00,1.78,2.06,0.412,4.17,,0.51000,7.6000,11.0694000
KELT-16 b,KELT-16,b,2,1,0,Transit,2017,2017-03,Ground,KELT,Mamiya 645 80mm f/1.9,0.96899510,15.861,874.03250,1.200000,0.000000,,2453,84.400,3.230000,F7 V,6236.00,1.36,1.21,0.401,4.25,3.100,0.67900,7.6000,11.7959000
KELT-17 b,KELT-17,b,1,1,0,Transit,2016,2016-11,Ground,KELT,Multiple Telescopes,3.08017160,17.094,416.35730,0.460000,,,2087,84.870,6.380000,A,7454.00,1.65,1.64,0.876,4.22,0.650,0.51800,44.2000,9.2088700
KELT-18 b,KELT-18,b,2,1,0,Transit,2017,2017-06,Ground,KELT-North,Mamiya 645 80mm f/1.9,2.87175180,17.598,375.03940,0.377000,0.000000,3152.00,2085,88.860,5.138000,F4 V,6670.00,1.91,1.52,0.813,4.06,1.900,0.31110,12.3000,10.1036000
KELT-19 A b,KELT-19 A,b,2,1,0,Transit,2017,2018-01,Ground,KELT,Multiple Telescopes,4.61170930,21.409,1293.56810,0.744000,,2340.00,1935,85.410,7.500000,A8 V,7500.00,1.83,1.62,0.978,4.13,,0.37600,84.8000,9.8633100
KELT-2 A b,KELT-2 A,b,2,1,0,Transit,2012,2012-09,Ground,KELT,Mamiya 645 80mm f/1.9,4.11379000,15.132,540.31100,0.910000,0.000000,,,88.600,6.480000,F8,6327.00,1.93,1.54,0.689,4.50,3.970,0.30000,9.0000,8.5839300
