pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
1123.0,13.5,483.1016,1.08,0.209,,,,
122.1,4.14,16.0,1.24,0.34,,,,
3090.942,13.1,113.9,0.278,0.11,,,,
6.4947,13.8,305.1168,0.638,0.037,,,,3.953
47.84,5.83,28.6047,0.793,0.0,,,,
4.5557,14.1,197.046,0.386,0.086,,,,
5.8881,13.3,116.0,0.271,0.09,,,,
120.878,3.35,11.2,1.64,0.19,,,,
55.806,8.18,50.8528,0.511,0.0,,,,
1032.3,13.6,472.61321,1.03,0.132,,,,
199.505,12.6,2637.9,7.25,0.09,,,,
1531.0,12.7,2202.5619,5.91,0.48,,,,
1888.0,12.5,3219.6179,9.06,0.185,,,,
9.55237,2.44,12.6,4.7,0.093,240.0,1153.0,87.54,15.07
21.05704,4.35,15.2,1.01,0.22,83.0,886.0,88.61,25.5
989.2,13.8,298.75,0.625,0.15,,,,
3630.0,12.5,3054.22,8.59,0.572,,,,
,12.4,3496.0,10.1,,,1800.0,,
1075.69,12.7,2028.70889,5.44,0.1043,,,,
48.056,9.6,66.741,0.415,0.05,,,,
10.8985,10.9,82.95,0.352,0.53,,890.0,,
3.795963,1.615,3.24,4.23,0.045,,1099.0,87.59,11.35
6.203449,2.071,4.94,3.06,0.034,81.4,932.0,88.3,15.78
14.175685,2.539,6.98,2.34,0.055,68.16,708.0,89.06,27.39
19.590025,3.083,9.71,1.82,0.058,58.72,636.0,89.245,33.9
29.54115,2.017,4.72,3.16,0.051,,,88.963,
1129.0,13.1,1112.4,2.72,0.85,,,,
437.7,13.3,767.24162,1.79,0.032,,,,
394.48123,13.6,451.3186,0.986,0.13,,,,
1624.0,13.8,314.64,0.658,0.239,,,,
68.27,13.9,273.3338,0.559,0.12,,,,
7.8543,4.31,17.162,1.18,0.25,,,,
30.93,5.27,24.154,0.907,0.15,,,,
5.239891,11.1,85.8141,0.345,0.0,,,,
835.477,12.4,3524.59,10.2,0.462,,,,
10.18271,3.2,10.3,1.73,0.2,196.7,955.0,88.2,20.0
2.541,2.05,4.55,2.9,0.093,735.49,1371.0,,
6.744,3.23,10.5,1.71,0.045,199.9,990.0,,
1143.0,12.7,2269.3062,6.09,0.2,,,,
1056.4,12.9,1398.452,3.58,0.26,,,,
825.9,12.9,1433.4133,3.67,0.03,,,,
