st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
F5,6280.0,1.7,1.27,0.603,4.07,3.37,0.357,8.9,11.6722
G7,5449.0,1.04,0.98,-0.066,4.39,8.2,1.223,1.7,13.2846
K1,5131.0,0.89,0.89,-0.305,4.48,9.4,1.75,0.6,13.787
,5956.0,1.21,1.09,0.217,4.31,4.67,0.87,4.1,13.5142
K7,4390.0,0.62,0.65,-0.902,4.67,3.9,2.08306,2.35,13.0172
,5808.0,1.01,1.01,0.064,4.43,4.2,1.22933,1.8,13.0955
F8,6566.0,1.47,1.42,0.553,3.39,2.01,0.63,40.06,10.8245
A8 V,6330.0,1.85,2.77,0.806,4.25,1.0,0.62,102.1,10.4253
,6570.0,1.62,1.79,0.553,4.22,2.3,0.59,7.8,10.3056
G2,5835.0,1.86,1.21,0.555,3.98,5.46,0.266,7.1,12.9952
G0,6002.0,1.88,1.25,0.615,3.99,4.66,0.269,7.57,12.8922
,6406.0,2.55,1.64,0.939,3.85,1.24,0.09809,35.8,9.97496
K,4508.0,0.67,0.68,-0.779,4.62,11.1,3.165,0.0,13.5442
,7394.0,1.93,1.65,1.0,4.11,1.27,0.36453,77.44,9.77332
,6389.0,2.0,1.56,0.814,4.07,2.07,0.27,3.8,10.3654
,8450.0,1.86,1.89,1.223,4.18,0.6,0.40362,99.85,9.45174
F6,6200.0,1.57,1.27,0.519,4.15,3.4,0.46,11.5,10.1489
F7,6350.0,1.34,1.28,0.418,4.29,1.6,0.755,11.9,12.1536
,5870.0,1.04,0.99,0.041,4.59,6.0,2.18527,2.52,11.9363
,5880.0,1.1,1.1,0.117,4.39,3.3,1.15,5.68,12.9838
G0,6563.0,1.54,1.33,0.403,4.19,7.7,0.479,3.8,13.8333
F,6357.0,1.17,1.16,0.863,4.36,2.36,0.269,6.57,12.6766
,5523.0,0.89,0.96,-0.321,4.52,2.5,1.93,2.82,13.6799
,5346.0,0.93,0.97,-0.173,4.48,4.9,1.682,3.8,13.7712
